layer,field,alias,type,length,nullable,domain,codedValues
Entryways-All,magnetic_swipe,J-Card Reader,String,50,True,Entryways_magnetic_swipe_a9a59c2b-46eb-43a2-85f9-43755b54c490,Y=Yes; N=No
Entryways-All,isa_sign,ADA Sign,String,5,True,Entryways_isa_sign_85b0e65c-07db-4d82-8d36-0ede3d6471af,Y=Yes; N=No
Entryways-All,entrance_name,Entrance Name,String,50,True,,
Entryways-All,image_url,Image URL,String,5000,True,,
Entryways-All,facility_id,Facility ID,String,255,True,,
Entryways-All,created_user,Created User,String,255,True,,
Entryways-All,created_date,Created Date,Date,29,True,,
Entryways-All,last_edited_user,Last Edited User,String,255,True,,
Entryways-All,last_edited_date,Last Edited Date,Date,29,True,,
Entryways-All,validationstatus,Validation status,SmallInteger,,True,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Entryways-All,project_number,Project Number,String,255,True,,
Entryways-All,change_type,Edit Type,String,100,True,,
Entryways-All,edit_comment,Edit_Comment,String,255,True,,
Entryways-Accessible,objectid,OBJECTID,OID,4,False,,
Entryways-Accessible,use_type,Use Type,String,50,True,,
Entryways-Accessible,asset_id,ID,String,15,True,,
Entryways-Accessible,accessible_entrance,Accessible Entrance,String,5,True,Entryways_accessible_entrance_43208c7a-730d-4756-8f06-a4bed0b42f99,N=No; Y=Yes
Entryways-Accessible,globalid,GlobalID,GlobalID,38,False,,
Entryways-Accessible,geo_level,Floor Level,Integer,,True,Entryways_geo_level_38912099-4ef8-4a88-8b1c-595a3c7d7953_12,-2=Sub-Basement; -1=Basement; 0=Ground Floor; 1=1st Floor; 2=2nd Floor; 3=3rd Floor; 4=4th Floor
Entryways-Accessible,automatic_door,Automatic Door Opener,String,3,True,Entryways_automatic_door_0a11ec81-8b69-4fbc-85d3-bca90b7872ab,Y=Yes; N=No
Entryways-Accessible,magnetic_swipe,J-Card Reader,String,50,True,Entryways_magnetic_swipe_a9a59c2b-46eb-43a2-85f9-43755b54c490,Y=Yes; N=No
